#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC250278;The enemy army is routed and the field is yours, for now. Wandering the battlefield in search of survivors, you notice a gleam of inky-black half-buried beneath the mud. Reaching down, you dig into the dirt with your fingers, only to suddenly cut them on some kind of sharp object. You scrabble to uncover the item, eventually revealing a prized Valyrian-steel blade.;L'armée ennemie est en déroute et le terrain est à vous, pour le moment. Alors que vous recherchez des survivants sur le champ de bataille, vous apercevez une faible lueur d'un noir d'encre provenant d'un petit monticule de boue. Vous vous agenouillez et creusez la poussière avec vos ongles, quand vous vous coupez subitement sur un objet tranchant. Vous extirpez celui-ci de la terre et le grattez jusqu'à découvrir une très convoitée lame en acier valyrien !;;;El ejército enemigo huye y el campo de batalla te pertenece. Recorres el campo de batalla en busca de supervivientes y te fijas en algo que brilla dentro de un montón de lodo, tras escarbar con las manos consigues extraer un objeto afilado...se trata de una espada acero valyrio!;;;;;;;;;x
EVTOPTA250278;To the victor go the spoils!;Au vainqueur va le butin !;;;El botín es para el vencedor!;;;;;;;;;x
EVTDESC250279;The battle rages around you, cries of anger and pain echoing from all angles. As you slash out against yet another assailant, you feel a leaden weight hit you in the chest and you crash to the ground, stunned. It is not until after the battle do you realise that [Root.GetValyrianSwordOwned], your ancestral blade, that you so foolishly wore into battle has been lost in the chaos.;Les combats font rage autour de vous, les cris de douleur et de colère se répercutant sur tout le champ de bataille. Alors que vous frappez de taille un nouvel assaillant, vous sentez un choc violent au niveau de la poitrine et vous vous effondré, sonné par l’impact. Ce n’est qu’après la bataille que vous réalisez que, dans le chaos des combats, vous avez égaré [Root.GetValyrianSwordOwned], votre ancestrale lame, que vous aviez sottement amené avec vous !;;;La batalla retumba a tu alrededor y los gritos de dolor y miedo te rodean. Un golpe de maza en el costado proveniente de un jinete enemigo hace que te tambalees en el caballo y te toca alejarte para no ser derribado. Cuando estás en lugar seguro adviertes que has perdido la famosa hoja de acero valyrio que poseias.;;;;;;;;;x
EVTOPTA250279;Damnation!;Merde!;;;Maldición!;;;;;;;;;x
EVTDESC251400;Your Master-at-Arms brings you a list of all owners of Valyrian blades.;Votre Maître d'Armes vous a compilé une liste de tous les possesseurs d'épées valyriennes.;;;Tu Maestro de Armas te trae una lista de todos los propietarios de espadas de acero valyrio.;;;;;;;;;x
EVTOPTA251400;They are: (look at the tooltip).;Ils sont : (regardez l'infobulle).;;;Ellos son: (mirar en la descripción).;;;;;;;;;x
show_me_val_swords;Show owners of Valyrian blades.;Montrer les possesseurs d'Épées Valyriennes.;;;Mostrar Espadas de Acero Valyrio;;;;;;;;;x
show_me_val_swords_desc;Ask your Master-at-Arms for a list with all known owners of Valyrian blades.;Demander à votre Maître d'Armes une liste des possesseurs d'épées valyriennes.;;;Solicitar al Maestro de Armas que haga una lista de los propietarios de espadas de acero valyrio.;;;;;;;;;x
opinion_gave_sword_to_me;Gave Me Our Ancestral Sword;M’a donné notre épée ancestrale;;;Me concedió nuestra espada ancestral.;;;;;;;;;x
opinion_didnt_give_sword_to_me;Denied Me Our Ancestral Sword;M’a refusé notre épée ancestrale;;;Me denegó nuestra espada ancestral.;;;;;;;;;x
give_valyrian_sword_to_son;Grant Valyrian Sword;Donner votre épée valyrienne;;;Ceder tu espada de acero valyrio.;;;;;;;;;x
give_valyrian_sword_to_son_desc;I will pass on my sword to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner mon épée à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi.;;;Cederé mi espada de acero valyrio a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
blackfyre;Blackfyre;Feunoyr;;;Fuegoscuro;;;;;;;;;x
blackfyre_desc;Blackfyre was one of two Valyrian steel swords the Targaryens brought from Dragonstone after the Doom, making it one of the most prized possessions of the Targaryen family.;Feunoyr fut l'une des deux épées en acier valyrien que les Targaryen ramenèrent de Peyredragon après le Fléau, faisant d'elle l'une des possessions les plus prisées de la famille Targaryen.;;;Fuegoscuro es una  espada bastarda y una de las dos espadas de acero valyrio que los Targaryen trajeron a Rocadragón antes de la Maldición, por lo que es una de las posesiones más preciadas de la familia Targaryen. Maelys el Monstruoso fue el último poseedor conocido de la espada.;;;;;;;;;x
darksister;Dark Sister;Noire Sœur;;;Hermana Oscura;;;;;;;;;x
darksister_desc;Dark Sister was one of two Valyrian steel swords the Targaryens brought from Dragonstone after the Doom, making it one of the most prized possessions of the Targaryen family. Bloodraven was the last known wielder of the blade.\n\n-If the owner of Dark Sister is a Targaryen, then the head of House Targaryen will usually inherit this sword on the owners death.;Noire Sœur fut l'une des deux épées en acier valyrien que les Targaryen ramenèrent de Peyredragon après le Fléau, faisant d'elle l'une des possessions les plus prisées de la famille Targaryen. Freuxsanglant fut le dernier porteur connu de la lame. ;;;Hermana Oscura una de las dos espadas de acero valyrio que los Targaryen trajeron a Rocadragón antes de la Maldición, por lo que es una de las posesiones más preciadas de la familia Targaryen. Cuervo de Sangre fue el último poseedor conocido de la espada.;;;;;;;;;x
ice;Ice;Glace;;;Hielo;;;;;;;;;x
ice_desc;Ice is the ancestral Valyrian steel greatsword of House Stark, spellforged in Valyria a century before Aegon's conquest.;Glace est l’ancestrale épée en acier valyrien de la Maison Stark, forgée par magie un siècles avant le Débarquement d’Aegon.;;;Hielo es el mandoble ancestral de acero valyrio de la Casa Stark, forjado con magia en Valyria un siglo antes de la conquista de Aegon.;;;;;;;;;x
longclaw;Longclaw;Grand-Griffe;;;Garra;;;;;;;;;x
longclaw_desc;Longclaw is the ancestral Valyrian steel sword of house Mormont which has been in the hands of the Mormont dynasty for hundreds of years.;Grand-Griffe est l’ancestrale épée en acier valyrien de la Maison Mormont qui l’a en sa possession depuis des centaines d’années.;;;Garra es la espada bastarda ancestral de acero valyrio de la casa Mormont y ha pasado de generación en generación durante casi quinientos años.;;;;;;;;;x
longclaw_snow;Longclaw;Grand-Griffe;;;Garra;;;;;;;;;x
longclaw_snow_desc;Longclaw is the ancestral Valyrian steel sword of house Mormont passed onto Jon Snow when Jon and his direwolf saved Mormont's life at Castle Black.;Grand-Griffe est l’ancestrale épée en acier valyrien de la Maison Mormont qui a été remise à Jon Snow après que Jon et son loup-garou aient sauvé la vie de Mormont à Château-Noir.;;;Garra es la espada bastarda ancestral de acero valyrio de la casa Mormont cedida a Jon Nieve cuando Jon y su lobo huargo salvaron la vida de Jeor Mormont en el Castillo Negro.;;;;;;;;;x
brightroar;Brightroar;Rugissante;;;Rugido;;;;;;;;;x
brightroar_desc;Brightroar is the lost ancestral Valyrian steel sword of House Lannister, lost with Tommen II in the Doom of Valyria;Rugissante est l'ancestrale épée en acier valyrien disparue de la Maison Lannister, perdue avec Tommen II lors du Fléau de Valyria;;;Rugido es la espada ancestral de acero valyrio de la Casa Lannister, comprada un siglo antes de la maldición de Valyria. Se perdió cuando el Rey de la Roca Tommen II se embarcó a Valyria y nunca regresó.;;;;;;;;;x
lightbringer;Lightbringer;Illumination;;;Dueña de Luz;;;;;;;;;x
lightbringer_desc;Lightbringer is supposedly the sword of Azor Ahai, a legendary hero who is prophesied to fight the Great Other. Lightbringer is thought to be a sword made of living fire. It is also known as the Red Sword of Heroes.;Selon la légende, Illumination est l'épée de Azor Ahai, un héros légendaire qui, selon la prophétie, doit combattre le Grand Autre. Illumination est censée être faite de feu vivant. Elle est aussi connue sous le nom d'épée rouge des héros.;;;Dueña de Luz, a veces llamada también Portadora de Luz y la Espada Roja de los Héroes, es la espada de Azor Ahai, un héroe legendario que según la profecía combatirá al Gran Otro. Se cree que Dueña de Luz es una espada hecha de fuego. ;;;;;;;;;x
heartsbane;Heartsbane;Corvenin;;;Veneno de Corazón;;;;;;;;;x
heartsbane_desc;Heartsbane is the ancestral Valyrian steel sword of House Tarly. It is a two-handed greatsword which, up until the end of the third century AL, has been in the family for five hundred years.;Corvenin est l'ancestrale épée en acier valyrien de la maison Tarly. C'est une grande épée à deux mains qui, jusqu’à la fin du troisième siècle après la Conquête, a été transmise dans la famille pendant cinq cents ans.;;;Veneno de Corazón es el mandoble ancestral de acero valyrio de la Casa Tarly. Ha estado en la familia durante quinientos años.;;;;;;;;;x
crabspincer;Crab's Pincer;Pince-Crabe;;;Pinza de Cangrejo;;;;;;;;;x
crabspincer_desc;Crab's Pincer is the Valyrian steel axe belonging to House Celtigar.;Pince-Crabe est la hache en acier valyrien de la maison Celtigar.;;;Pinza de Cangrejo es el hacha de acero valyrio ancestral de la Casa Celtigar.;;;;;;;;;x
ladyforlorn;Lady Forlorn;Dame Affliction;;;Dama Desesperada;;;;;;;;;x
ladyforlorn_desc;Lady Forlorn is the Valyrian steel sword belonging to House Corbray. It has a heart-shaped ruby in its pommel.\n\n-If the owner of Lady Forlorn is a Corbray, then the head of House Corbray will usually inherit this sword on the owners death.;Dame Affliction est l'épée en acier valyrien appartenant la Maison Corbray. Son pommeau est serti d'un rubis en forme de cœur.;;;Dama Desesperada es la espada ancestral de acero valyrio de la Casa Corbray. Tiene un rubí en forma de corazón en el pomo.;;;;;;;;;x
redrain;Red Rain;Pluie Pourpre;;;Lluvia Roja;;;;;;;;;x
redrain_desc;Red Rain is said to be the ancestral Valyrian steel sword of House Reyne. Hilmar Drumm later acquired it for House Drumm with just his wits and a wooden cudgel.;La rumeur court que Pluie Pourpre serait l’ancienne épée en acier valyrien de la Maison Reyne. Hilmar Timbal s’en empara pour le compte de la Maison Timbal en usant de sa vivacité d’esprit et d’un simple gourdin de bois. ;;;Lluvia Roja es una espada de acero valyrio que se rumorea es la ancestral espada de acero valyrio de la Casa Reyne. Hilmar Drumm la adquirió para la Casa Drumm usando sólo su ingenio y un garrote de madera.;;;;;;;;;x
widowswail;Widow's Wail;Pleurs-de-Veuve;;;Lamento de Viuda;;;;;;;;;x
widowswail_desc;Widow's Wail is a new Valyrian steel sword forged from the old blade Ice on the orders of Tywin Lannister. It has red and black ripples through the steel and its scabbard is garishly decorated with gold, cherrywood, red leather and golden lion heads with ruby eyes.;Pleurs-de-Veuve est une épée en acier valyrien nouvellement forgée à partir de l’antique épée Glace à la demande de Tywin Lannister. La lame d’acier est moirée de rouge et de noir et son fourreau est décoré à outrance d’or, de merisier, de maroquin rouge et de mufles léonins d’or aux yeux de rubis.;;;Lamento de Viuda es una nueva espada de acero valyrio forjada a partir del mandoble ancestral de la Casa Stark, Hielo. Tiene una hermana de forja, Guardajuramentos. Su apariencia es de una hoja con bucles rojos y negros, la vaina está decorada con oro, madera de cerezo y cuero rojo con cabezas de leones de oro, cuyos ojos son rubíes.;;;;;;;;;x
oathkeeper;Oathkeeper;Féale;;;Guardajuramentos;;;;;;;;;x
oathkeeper_desc;Oathkeeper is a new Valyrian steel sword forged from the old blade Ice on the orders of Tywin Lannister. It has red and black ripples through the steel.;Féale est une épée en acier valyrien nouvellement forgée à partir de l’antique épée Glace à la demande de Tywin Lannister. Son acier est moiré de rouge et de noir.;;;Guardajuramentos es una espada larga de acero valyrio forjada a partir del mandoble ancestral de la Casa Stark, Hielo. Tiene una hermana de forja, Lamento de Viuda. Su apariencia es de una hoja con bucles rojos y negros.;;;;;;;;;x
strangers_mercy;Stranger's Mercy;Mort-Merci;;;Misericordia del Desconocido;;;;;;;;;x
strangers_mercy_desc;Stranger's Mercy is a bastard sword of Valyrian Steel, the pommel set with a piece of polished dragonglass.;Mort-Merci est une épée bâtarde en acier valyrien, du verredragon est incrusté dans son pommeau.;;;Misericordia del Desconocido es una espada bastarda de acero valyrio, la empuñadura está engastada con un pedazo de vidriagón pulido.;;;;;;;;;x
palemoon;Palemoon;Lunepale;;;Lunapálida;;;;;;;;;x
palemoon_desc;Palemoon is the ancestral Valyrian Steel sword of House Myrth. Two moonstones adorn the hilt and the pommel.;Lunepale est une épée en acier Valyrien de la Maison Myrth. Deux pierres de lune ornent la poignée et le pommeau.;;; Lunapálida es la espada ancestral del acero de Valyrian de la Casa Myrth. Dos piedras de luna adornan la empuñadura y el pomo.;;;;;;;;;x
truth;Truth;Vérité;;;Verdad;;;;;;;;;x
truth_desc;Truth is the Valyrian Steel sword of House Rogare, a noble family of ancient lineage from Lys.;Vérité est l'épée en acier valyrien de la maison Rogare, une noble famille lysienne à l'antique ascendance;;;Verdad es la espada de acero valyrio de la casa Rogare, una noble familia lysena de antigua ascendencia.;;;;;;;;;x
lamentation;Lamentation;Lamentation;;;Lamento;;;;;;;;;x
lamentation_desc;Lamentation is the Valyrian Steel sword of House Royce, an old and powerful noble house of the Vale. Pre-dating the Arryn rule of the Vale, they can trace their blood back to the days of the First Men who once populated the Vale and their rule as the Bronze Kings of Runestone, until the Andal conquest in which they were defeated by Artys Arryn, the King of Mountain and Vale.;Lamentation est l'épée en acier valyrien de la maison Royce, une ancienne et puissante maison du Val. Les Royce peuvent remonter leur lignage bien avant l'arrivée des Arryn. A l'époque des Premiers Hommes ils gouvernaient en tant que rois de Bronze des Roches-aux-runes, et cela jusqu'à leur défaite face aux Andals et Artys Arryn, le roi de la Montagne et du Val.;;;Lamento es la espada de acero valyrio de la casa Royce, una antigua y poderosa casa del Valle. Los Royce pueden rastrear su linaje hasta los Primeros Hombres que habitaron el Valle antes de la llegada de los Ándalos.;;;;;;;;;x
poison;Poison;Poison;;;Veneno;;;;;;;;;x
poison_desc;Poison is the Valyrian Steel sword of House Vunatis, a bastard sword of Valyrian steel which was originally intended to be traded for bags of gold with the Volantene across the Narrow Sea, before the ship it traveled on was seized by the Pirate Lords of Bloodstone. The grip is made of dragonbone, carved in a corkscrew pattern.;Poison est l'épée bâtarde en acier valyrien de la maison Vunatis. cette dernière devait au départ être vendue à de riches Volantains, mais le navire sur lequel elle était transportée fut attaqué les seigneurs pirates de Peyresang. Le Pommeau est en os de dragon.;;;Veneno es la espada bastarda de acero valyrio de la casa Vunatis. Inicialmente estaba destinado a ser vendida a ricos volantinos, pero el navío en el que la transportaban fue atacado por los piratas de Piedra Sangrienta. La empuñadura es de huesodragón.;;;;;;;;;x
TOOLTIPVALYRIANSWORDWIELDER;[This.GetFirstNameWithDynasty] wields a §YValyrian steel sword§!\n;[This.GetFirstNameWithDynasty] manie une §Yépée en acier valyrien§!\n;;;[This.GetFirstNameWithDynasty] blande una §Y espada de acero valyrio§!\n;;;;;;;;;x
TOOLTIPICEWIELDER;[This.GetFirstNameWithDynasty] wields §YIce§!\n;[This.GetFirstNameWithDynasty] manie §YGlace§!\n;;;[This.GetFirstNameWithDynasty] blande a §YHielo§!\n;;;;;;;;;x
TOOLTIPDAWNWIELDER;[This.GetFirstNameWithDynasty] is the Sword of the Morning, wielding §YDawn§!\n;[This.GetFirstNameWithDynasty] est l'Epée du Matin, maniant §YAube§!\n;;;[This.GetFirstNameWithDynasty] es la Espada del Alba, blandiendo a §YAlbor§!\n;;;;;;;;;x
TOOLTIPLONGCLAWWIELDER;[This.GetFirstNameWithDynasty] wields §YLongclaw§!\n;[This.GetFirstNameWithDynasty] manie §YGrand-Griffe§!\n;;;[This.GetFirstNameWithDynasty] blande a §YGarra§!\n;;;;;;;;;x
TOOLTIPBLACKFYREWIELDER;[This.GetFirstNameWithDynasty] wields §YBlackfyre§!\n;[This.GetFirstNameWithDynasty] manie §YFeunoyr§!\n;;;[This.GetFirstNameWithDynasty] blande a §YFuegoscuro§!\n;;;;;;;;;x
TOOLTIPBRIGHTROARWIELDER;[This.GetFirstNameWithDynasty] wields §YBrightroar§!\n;[This.GetFirstNameWithDynasty] manie §YRugissante§!\n;;;[This.GetFirstNameWithDynasty] blande a §YRugido§!\n;;;;;;;;;x
TOOLTIPHEARTSBANEWIELDER;[This.GetFirstNameWithDynasty] wields §YHeartsbane§!\n;[This.GetFirstNameWithDynasty] manie §YCorvenin§!\n;;;[This.GetFirstNameWithDynasty] blande a §YVeneno de Corazón§!\n;;;;;;;;;x
TOOLTIPSTRANGERSMERCYWIELDER;[This.GetFirstNameWithDynasty] wields §YStranger's Mercy§!\n;[This.GetFirstNameWithDynasty] manie §YMort-Merci§!\n;;;[This.GetFirstNameWithDynasty] blande a §YMisericordia del Desconocido§!\n;;;;;;;;;x
TOOLTIPPALEMOONWIELDER;[This.GetFirstNameWithDynasty] wields §YPalemoon§!\n;[This.GetFirstNameWithDynasty] manie §YLunepale§!\n;;;[This.GetFirstNameWithDynasty] blande a §YLunapálida§!\n;;;;;;;;;x
CB_NAME_RECLAIM_SWORD;Reclaim Ancestral Sword;Réclamer l'épée ancestrale;;;Reclamar la Espada Ancestral;;;;;;;;;x
WAR_NAME_RECLAIM_SWORD;$CLAIMANT$'s $ORDER$ War to reclaim their ancestral sword from $DEFENDER$;$ORDER$$FIRST_ADJ$ Guerre pour reprendre l'épée ancestrale des mains de $DEFENDER$;;;$ORDER$$FIRST_ADJ$ Guerra para recuperar la espada ancestral de las manos de $DEFENDER$;;;;;;;;;x
reclaim_ancestral_sword_desc;§Y$CLAIMANT$§! can declare war to reclaim their houses' ancestral sword from §Y$TARGET$§! ;§Y$CLAIMANT$§! peut déclarer la guerre à §Y$TARGET$§! pour reprendre l'épée ancestrale de sa maison;;;§Y$CLAIMANT$§! Puede declarar la guerra a §Y$TARGET$§! para recuperar la espada ancestral de su casa.;;;;;;;;;x
TOOLTIPRECLAIMVALYRIANSTEELWAR;[This.GetFirstNameWithDynasty] shall surrender their §YValyrian Blade§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera son §Ylame en acier valyrien§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar su §Yespada de acero valyrio§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPRECLAIMICEWAR;[This.GetFirstNameWithDynasty] shall surrender §YIce§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YGlace§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YHielo§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPRECLAIMLONGCLAWWAR;[This.GetFirstNameWithDynasty] shall surrender §YLongclaw§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YGrand-Griffe§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YGarra§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPRECLAIMBLACKFYREWAR;[This.GetFirstNameWithDynasty] shall surrender §YBlackfyre§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YFeunoyr§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YFuegoscuro§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPRECLAIMBRIGHTROARWAR;[This.GetFirstNameWithDynasty] shall surrender §YBrightroar§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YRugissante§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YRugido§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPRECLAIMHEARTSBANEWAR;[This.GetFirstNameWithDynasty] shall surrender §YHeartsbane§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YCorvenin§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YVeneno de Corazón§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPRECLAIMDARKSISTERWAR;[This.GetFirstNameWithDynasty] shall surrender §YDark Sister§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YNoire Soeur§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YHermana Oscura§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPRECLAIMSTRANGERS_MERCYWAR;[This.GetFirstNameWithDynasty] shall surrender §YStranger's Mercy§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YMort-Merci§! To §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YMiseridordia del Desconocido§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPRECLAIMPALEMOONWAR;[This.GetFirstNameWithDynasty] shall surrender §YPalemoon§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YLunepale§! To §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YLunapálida§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
nightfall;Nightfall;Crépuscule;;;Anochecer;;;;;;;;;x
nightfall_desc;Nightfall is a Valyrian steel sword that belonged to House Harlaw towards the end of the third century AL. It has a moonstone pommel.;Crépuscule est une épée en acier valyrien qui appartenait à la Maison Harloi durant la fin du troisième siècle après la Conquête. Son pommeau est en pierre de lune.;;;Anochecer es el mandoble ancestral de acero valyrio de la Casa Harlaw. La espada tiene una empuñadura de piedra con una luna. ;;;;;;;;;x
TOOLTIPNIGHTFALLWIELDER;[This.GetFirstNameWithDynasty] wields §YNightfall§!\n;[This.GetFirstNameWithDynasty] manie §YCrépuscule§!\n;;;[This.GetFirstNameWithDynasty] blande a §YAnochecer§!\n;;;;;;;;;x
TOOLTIPRECLAIMNIGHTFALLWAR;[This.GetFirstNameWithDynasty] shall surrender §YNightfall§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YCrépuscule§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YAnochecer§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPDARKSISTERWIELDER;[This.GetFirstNameWithDynasty] wields §YDark Sister§!\n;[This.GetFirstNameWithDynasty] manie §YNoire Soeur§!\n;;;[This.GetFirstNameWithDynasty] blande a §YHermana Oscura§!\n;;;;;;;;;x
give_ice_to_son;Grant Ice;Donner Glace;;;Ceder Hielo;;;;;;;;;x
give_ice_to_son_desc;I will pass on Ice to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Glace à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Hielo a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_longclaw_to_son;Grant Longclaw;Donner Grand-Griffe;;;Ceder Garra;;;;;;;;;x
give_longclaw_to_son_desc;I will pass on Longclaw to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Grand-Griffe à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Garra a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_longclaw_snow_to_son;Grant Longclaw;Donner Grand-Griffe;;;Ceder Garra;;;;;;;;;x
give_longclaw_snow_to_son_desc;I will pass on Longclaw to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Grand-Griffe à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Garra a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_blackfyre_to_son;Grant Blackfyre;Donner Feunoyr;;;Ceder Fuegoscuro;;;;;;;;;x
give_blackfyre_to_son_desc;I will pass on Blackfyre to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Feunoyr à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Fuegoscuro a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_brightroar_to_son;Grant Brightroar;Donner Rugissante;;;Ceder Rugido;;;;;;;;;x
